date,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),site number,site name
07/02/20,70.31,140.26,5.16,19.59,24.75,,,0.86,71.1,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
07/02/20,89.27,186.53,10.79,3.0,10.04,,8.8,0.68,36.28,2.29,6.92,7.01,,6.82,15.06,33.22,67.07,0.76,125.09,,0.0,293.37,,,5344,Teri Gram
07/02/20,83.26,188.45,2.19,11.53,7.63,3.36,4.88,0.7,97.28,3.13,1.17,2.5,,5.98,5.85,35.11,56.03,0.61,149.47,0.0,0.0,,,,5345,Sector-51
08/02/20,34.32,,0.78,7.76,3.91,,4.49,0.38,44.55,2.0,6.0,3.03,,3.0,3.98,,75.1,0.66,228.81,,0.0,249.92,751.83,-0.21,146,Vikas Sadan
08/02/20,22.0,47.88,9.04,11.37,20.41,,,0.6,22.3,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
08/02/20,26.42,52.57,6.48,4.69,11.28,,11.66,0.6,13.18,1.07,10.34,9.56,,5.07,3.43,29.83,83.23,0.68,206.63,,0.0,383.36,,,5344,Teri Gram
08/02/20,35.65,83.16,3.96,7.97,4.9,18.53,5.71,0.51,0.47,3.57,0.16,6.69,,13.07,12.83,31.59,73.26,0.8,234.09,0.0,0.0,,,,5345,Sector-51
09/02/20,29.77,,2.07,2.5,1.37,,4.4,0.49,33.18,2.0,5.98,2.99,,2.99,4.0,,79.7,0.52,223.93,,0.0,177.17,763.37,-0.06,146,Vikas Sadan
09/02/20,21.03,42.11,3.96,9.08,13.04,,,0.41,38.34,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
09/02/20,23.35,46.95,6.4,8.25,13.4,15.65,4.62,0.59,15.55,0.5,1.35,5.26,,2.88,2.96,29.17,78.33,0.72,178.65,,0.0,361.41,,,5344,Teri Gram
09/02/20,25.14,78.85,4.57,6.6,7.96,13.42,2.2,0.44,20.37,5.39,111.09,7.1,,7.26,12.12,29.87,75.56,0.68,186.99,0.0,0.0,,,,5345,Sector-51
10/02/20,78.41,,3.76,2.98,4.58,,1.69,0.7,56.97,1.99,6.0,3.02,,2.99,4.0,,50.79,0.61,218.82,,0.0,163.23,761.24,-0.05,146,Vikas Sadan
10/02/20,,168.41,7.26,15.2,22.46,,,1.08,49.68,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
10/02/20,71.52,149.0,6.42,5.11,8.67,19.1,5.01,1.15,36.59,5.51,0.79,0.81,,9.36,5.77,26.93,63.84,0.74,167.19,,0.0,440.26,,,5344,Teri Gram
10/02/20,73.31,205.22,14.39,8.49,14.14,31.61,2.65,0.97,43.55,10.91,1.03,0.31,,18.84,20.66,29.59,50.73,0.61,205.51,0.0,0.0,,,,5345,Sector-51
11/02/20,129.0,,11.44,11.2,15.0,,4.84,1.63,84.99,2.0,6.02,3.79,,3.0,4.0,,42.42,0.59,220.76,,0.0,117.41,719.8,-0.07,146,Vikas Sadan
